concept1,concept2,label
Autonomous robot,Robotics,1
Wavelet,Signal processing,1
Artificial intelligence,Computer,1
Motion capture,Arithmetic logic unit,0
Document classification,Internet,0
Python (programming language),Random walk,0
Monte Carlo method,Statistical inference,1
Object-oriented programming,Computer programming,1
Rendering (computer graphics),Computer graphics,1
Procedural programming,Computer science,1
Calculus of variations,Continuous function,1
Machine learning,Computational complexity theory,1
Data analysis,Debugging,0
Formal language,Computer science,1
Nonlinear system,Computer security,0
Transaction processing,Linear system,0
Estimation theory,Statistical inference,1
Programming paradigm,Algorithm,0
Compiler,Visualization (computer graphics),0
Public-key cryptography,Prediction,0
Robotics,Index (database),0
Ordinary differential equation,Foundations of mathematics,0
Machine learning,Expected value,1
Computational geometry,Computer,1
Randomized algorithm,Randomization,1
Random walk,Markov chain,1
Profiling (computer programming),Computer programming,1
Concurrency control,Computer programming,1
Mutual exclusion,Syntax,0
Software testing,Software development,1
Abstraction (computer science),Functional programming,0
Compiler optimization,Assembly language,1
Algebra,Query language,0
Recurrence relation,Graph theory,0
Predicate logic,Reason,0
Parallel algorithm,Parallel computing,1
Data structure,Monte Carlo method,0
Linear algebra,Mathematics,1
Shading,Semantics of programming languages,0
Denotational semantics,Exponential family,0
Relational database,Database management system,1
Message passing,Linked list,0
Exponential family,Artificial intelligence,0
Network security,Mathematics,0
Dynamic programming,Algorithm design,1
Undecidable problem,Computational complexity theory,1
Computer science,Foundations of mathematics,1
Genetic algorithm,Computer science,1
Parallel algorithm,Semantics of programming languages,0
Scripting language,Programming language,1
Computer,Data mining,0
Matrix (mathematics),Memory management,0
Reinforcement learning,Parallel algorithm,0
Internet,Number theory,0
Theory of computation,Mechanical engineering,0
Suffix tree,String searching algorithm,1
Regular language,Design of experiments,0
Analysis of algorithms,Introduction to Algorithms,1
Fast Fourier transform,Signal processing,1
Gradient descent,Question answering,0
User interface,Memory hierarchy,0
Higher-order function,Run time (program lifecycle phase),0
Web search engine,Algorithm,1
Virtual memory,Computer architecture,1
Operating system,Computer,1
Concurrency control,Arithmetic,0
Undecidable problem,Computer science,1
Reason,Randomized algorithm,0
Scope (computer science),Variable (computer science),1
Numerical analysis,Partial differential equation,0
JavaScript,Superscalar,0
Graph (mathematics),Discrete mathematics,1
ML (programming language),Scientific modelling,0
JavaScript,Robot,0
Semantics of programming languages,Memory management,0
Graph (mathematics),Imperative programming,0
NP (complexity),Turing machine,1
Information security,Expert system,0
Halting problem,Theory of computation,1
Partial differential equation,Numerical analysis,1
Graph (mathematics),Computer programming,0
Motion capture,Computer graphics,1
MapReduce,Parallel computing,1
File system,Sentiment analysis,0
Iterative method,Digital signature,0
Estimation theory,Statistical inference,1
Input/output,Computer,1
Information theory,Complexity class,0
Calculus,Arithmetic,1
Lisp (programming language),Scope (computer science),1
Random graph,Motion planning,0
Data mining,Data,1
Context-free grammar,Large deviations theory,0
Computer architecture,Computer science,1
Hidden Markov model,Volume rendering,0
Lexical analysis,Computer science,1
Assembly language,Computer science,1
Abstract data type,Computation,0
Vulnerability (computing),Program analysis,0
Relational model,Object (computer science),1
Automatic programming,Computer science,1
Regular language,Software development,0
Martingale (probability theory),Security,0
Input/output,Computer,1
Database,Computer science,1
Artificial intelligence,Algorithm,1
Perl,Machine learning,0
Randomized algorithm,Random variable,1
Instruction set,Bioinformatics,0
Profiling (computer programming),Programming style,0
Lisp (programming language),Programming language,1
Computer science,Quantum cryptography,0
Statistical inference,Halting problem,0
Computational problem,Conditional probability,0
Finite element method,Internet,0
Asymptotic analysis,Logic programming,0
PSPACE,Unsupervised learning,0
Multiplication,Mathematics,1
Lexical analysis,Finite-state machine,1
Logic programming,Scheduling (computing),0
Approximation,Query language,0
Fast Fourier transform,Algorithm,1
Bayesian,Markov process,0
GPU,Index (database),0
Firewall (computing),Entropy,0
Boundary value problem,Partial differential equation,1
Computer programming,Information assurance,0
Linear programming,Matrix (mathematics),1
Web browser,Abstraction (computer science),0
Context-free language,Regular expression,0
Information assurance,Unsupervised learning,0
Object (computer science),Feature extraction,0
hypothesis testing,Expert system,0
Fixed point (mathematics),Turing machine,0
Computational complexity theory,Theory of computation,1
Polymorphism (computer science),Traffic analysis,0
Undecidable problem,Recursively enumerable set,0
Calculus of variations,Integral,1
Bayesian network,Computational learning theory,0
Document classification,Computer science,1
Distributed computing,Computer programming,1
Recursion (computer science),Computer programming,1
Public-key cryptography,Query optimization,0
Game theory,Routing,0
Data warehouse,Foundations of mathematics,0
Programming language,Data structure,1
Programming style,Statistics,0
Reinforcement learning,Artificial intelligence,1
Network security,Object (computer science),0
Automatic programming,Computer science,1
Semidefinite programming,Transaction processing,0
3D modeling,Polynomial,0
Compiler,Multiplication,0
Partial differential equation,Differential equation,1
Partial differential equation,Fixed point (mathematics),0
Abstraction (computer science),Discrete mathematics,0
Graph theory,Cache coherence,0
Computer network,Data,1
Markov process,Abstraction (computer science),0
World Wide Web,Programming language,0
Distributed algorithms,Web browser,0
Interface (computing),Algorithm design,0
Multi-core processor,Central processing unit,1
Time complexity,Algorithm,1
Semantics,Matrix (mathematics),0
Inequality (mathematics),Calculus,0
Variable (computer science),World Wide Web,0
Random graph,Hidden Markov model,0
Estimation theory,Probability,1
Data structure,Data,1
Time complexity,Turing machine,1
Human-computer interaction,Interactivity,1
Polymorphism (computer science),Microprocessor,0
Motion planning,Design of experiments,0
Interpolation,Mathematics,1
Security,Automated theorem proving,0
Vector processor,Virtual reality,0
Machine learning,Scheduling (computing),0
Web service,Internet Protocol Suite,0
Quantum cryptography,Computer architecture,0
Instruction set,Python (programming language),0
Statistics,Randomness,1
Formal language,Logic,1
Embedded system,Algorithm design,0
Recursively enumerable set,Finite set,1
Internet,Data warehouse,0
Firewall (computing),Computer science,0
Software engineering,Differential equation,0
Bayesian network,Sparse matrix,0
Estimation theory,Large deviations theory,0
Parallel computing,Computing,1
Mathematical induction,Mathematical proof,1
Signal processing,Probability,1
Imperative programming,Programming language,1
Volume rendering,Data (computing),0
Bioinformatics,Algorithm,1
Database design,Data structure,1
Software testing,Reinforcement learning,0
Unsupervised learning,Cluster analysis,0
Finite-state machine,Automata theory,1
Web browser,Computer,1
Polymorphism (computer science),Artificial intelligence,0
Parametric polymorphism,Variable (computer science),1
Transaction processing,Computer science,1
Virtual memory,Memory hierarchy,1
Geometric modeling,Computational geometry,1
Automatic programming,Operating system,0
Image analysis,Data type,0
Conditional probability,Interaction design,0
Unix,Operating system,1
Lexical analysis,Communication,0
Python (programming language),Computer programming,1
3D computer graphics,Image processing,1
Algorithm design,Computer science,1
Prolog,Context-free grammar,0
Hash table,"Best, worst and average case",1
Concurrent computing,Computer,1
Statistics,Data structure,0
Database management system,Computer science,1
Virtual reality,Lexical analysis,0
Application software,Computer,1
Computer network,Speech recognition,0
SQL,OSI model,0
Operating system,Central processing unit,1
Unix,Computer,1
Programming style,SQL,0
Scientific visualization,Cloud computing,0
Machine learning,Statistics,1
Compiler,Computer programming,1
Partial differential equation,Mathematics,1
Recursion (computer science),Computer simulation,0
NP-complete,Higher-order function,0
Lazy evaluation,Document classification,0
Formal methods,Abstract data type,0
Garbage collection (computer science),Traffic analysis,0
Lock (computer science),Abstraction (computer science),0
Linear programming,Algorithm,1
Database,Question answering,0
Functional programming,Programming language,1
JavaScript,Computational problem,0
Machine translation,Artificial intelligence,1
Functional programming,Computer science,1
Formal methods,Distributed algorithms,0
Computational complexity theory,Computer science,1
String searching algorithm,Regular expression,1
Inequality (mathematics),Python (programming language),0
Transaction processing,Database,1
OSI model,Logic,0
Parallel computing,Computer science,1
Personal computer,Computer,1
Model of computation,Packet switching,0
Scheduling (computing),Bioinformatics,0
Random variable,Lexical semantics,0
Entropy,GPU,0
Discrete mathematics,Algebra,1
Authentication,Web server,0
Scalability,Finite element method,0
Public-key cryptography,Algorithm,1
Data mining,Randomization,0
Monad (functional programming),Input/output,1
Recurrence relation,Web server,0
Database management system,Computer science,1
Query language,Computer programming,1
Object-oriented programming,Dynamic memory allocation,0
Syntax,Computational problem,0
Design of experiments,MapReduce,0
Recursion,Geometry,0
Routing,Computer,1
